Id,SalePrice
1461,188546.6745158723
1462,199734.24686082962
1463,197885.8653429671
1464,181593.03786743758
1465,160558.7099765216
1466,181686.09139922928
1467,173142.0852983545
1468,174927.02122635904
1469,182430.51965356292
1470,174918.561814378
1471,164166.64918644546
1472,146494.93755800248
1473,146494.93755800248
1474,149032.76115232173
1475,149032.76115232173
1476,193774.59112016993
1477,193880.33376993323
1478,188115.24450483802
1479,199120.93949220245
1480,199873.82715851718
1481,197124.51826467132
1482,169555.2946183833
1483,217613.21408280864
1484,152936.77978158282
1485,195644.1211679851
1486,175667.21977470216
1487,213125.49602685415
1488,177401.3992308203
1489,178365.77219666162
1490,183547.1620350634
1491,189807.12690105085
1492,180840.15020112286
1493,204568.80080800777
1494,194980.05732747156
1495,186482.57799249265
1496,159839.65995813115
1497,154256.44805062882
1498,152987.5362534692
1499,150149.4035338222
1500,150149.4035338222
1501,151993.55534569419
1502,149553.01498915718
1503,193753.44259021728
1504,170600.03199804472
1505,173226.67941816515
1506,183614.8373309119
1507,185031.78883774014
1508,219064.00323756115
1509,179994.20900301644
1510,179994.20900301644
1511,181263.12080017608
1512,180332.58548225902
1513,184223.91499354853
1514,195474.93292836382
1515,180518.69254584244
1516,212816.7274895453
1517,187523.08566616353
1518,174356.0109176372
1519,174059.93149829996
1520,173438.16471769175
1521,184752.62824236503
1522,181821.4419909263
1523,174842.4271065484
1524,185704.31209023474
1525,185471.6782607555
1526,196858.0467872678
1527,172795.24940713088
1528,173497.3806015592
1529,171682.83673162095
1530,180670.9619615016
1531,159691.62024846254
1532,158359.26286144493
1533,163942.47476894726
1534,168574.00282857986
1535,189515.27718770414
1536,174237.5791499023
1537,180231.07253848625
1538,179994.20900301644
1539,177456.3854086972
1540,177646.72217827116
1541,184054.72675392724
1542,164048.21741871056
1543,172351.130278125
1544,160537.56144656896
1545,164767.26743710102
1546,164767.26743710102
1547,166289.96159369257
1548,164767.26743710102
1549,165782.3968748287
1550,165782.3968748287
1551,165274.83215596486
1552,173624.27178127517
1553,193952.23877177227
1554,152365.769472861
1555,203947.03402739955
1556,184359.26558524554
1557,181263.12080017608
1558,164771.49714309155
1559,166666.4054268499
1560,164970.29332464654
1561,184955.65412991057
1562,172380.73822005873
1563,172516.08881175576
1564,170790.36876761867
1565,186875.94064961214
1566,224245.39307596293
1567,178551.879260245
1568,211640.86922417738
1569,218061.56291780504
1570,187941.8265592262
1571,178936.78250538342
1572,179676.98105372654
1573,213345.4407383618
1574,186761.73858786776
1575,190060.90926048276
1576,191672.42724287548
1577,170519.66758422463
1578,199598.8962691326
1579,186359.91651876722
